query_item,recommendation_item,score,rank,recommendation_theme,model_version,created_at
1,1,0.7338583865913151,1,similarity,v1,2024-10-31 23:14:06.270190
1,2,0.2510277379217946,2,similarity,v1,2024-10-31 23:14:06.270190
1,3,0.6903025301922003,3,similarity,v1,2024-10-31 23:14:06.270190
2,1,0.6971480611641752,1,default,default,2024-10-31 23:14:06.270190
2,2,0.5471986959465022,2,default,default,2024-10-31 23:14:06.270190
2,3,0.4941934611879282,3,default,default,2024-10-31 23:14:06.270190
3,1,0.2117629156168037,1,default,default,2024-10-31 23:14:06.270190
3,2,0.7820267794831586,2,default,default,2024-10-31 23:14:06.270190
3,3,0.3787073770612595,3,default,default,2024-10-31 23:14:06.270190
4,1,0.2288139012895778,1,default,default,2024-10-31 23:14:06.270190
4,2,0.1408908750299762,2,default,default,2024-10-31 23:14:06.270190
4,3,0.3795971915445753,3,default,default,2024-10-31 23:14:06.270190
5,1,0.7748575269310218,1,similarity,v1,2024-10-31 23:14:06.270190
5,2,0.7779091245218485,2,similarity,v1,2024-10-31 23:14:06.270190
5,3,0.7335730699568682,3,similarity,v1,2024-10-31 23:14:06.270190
6,1,0.5981817226471121,1,similarity,v1,2024-10-31 23:14:06.270190
6,2,0.5171064331609712,2,similarity,v1,2024-10-31 23:14:06.270190
6,3,0.8063441824235693,3,similarity,v1,2024-10-31 23:14:06.270190
7,1,0.214630459769762,1,similarity,v1,2024-10-31 23:14:06.270190
7,2,0.9122905820671192,2,similarity,v1,2024-10-31 23:14:06.270190
7,3,0.7244822929201956,3,similarity,v1,2024-10-31 23:14:06.270190
8,1,0.3453867555529345,1,default,default,2024-10-31 23:14:06.270190
8,2,0.6789919919500063,2,default,default,2024-10-31 23:14:06.270190
8,3,0.4581466826183492,3,default,default,2024-10-31 23:14:06.270190
9,1,0.8841194792777752,1,default,default,2024-10-31 23:14:06.270190
9,2,0.2989334966166034,2,default,default,2024-10-31 23:14:06.270190
9,3,0.2333152320145212,3,default,default,2024-10-31 23:14:06.270190
10,1,0.8149848038215279,1,similarity,v1,2024-10-31 23:14:06.270190
10,2,0.6618118452404192,2,similarity,v1,2024-10-31 23:14:06.270190
10,3,0.9387013593685936,3,similarity,v1,2024-10-31 23:14:06.270190
11,1,0.626675266408244,1,default,default,2024-10-31 23:14:06.270190
11,2,0.7635020069591385,2,default,default,2024-10-31 23:14:06.270190
11,3,0.5014760223781382,3,default,default,2024-10-31 23:14:06.270190
12,1,0.910951595563026,1,similarity,v1,2024-10-31 23:14:06.270190
12,2,0.7716912357466919,2,similarity,v1,2024-10-31 23:14:06.270190
12,3,0.5045852808342843,3,similarity,v1,2024-10-31 23:14:06.270190
13,1,0.3901290901301408,1,similarity,v1,2024-10-31 23:14:06.270190
13,2,0.752324931435761,2,similarity,v1,2024-10-31 23:14:06.270190
13,3,0.2920187979856919,3,similarity,v1,2024-10-31 23:14:06.270190
14,1,0.2226522601563876,1,similarity,v1,2024-10-31 23:14:06.270190
14,2,0.4157895770060084,2,similarity,v1,2024-10-31 23:14:06.270190
14,3,0.4266614369961493,3,similarity,v1,2024-10-31 23:14:06.270190
15,1,0.3734829009297088,1,similarity,v1,2024-10-31 23:14:06.270190
15,2,0.9002722523756114,2,similarity,v1,2024-10-31 23:14:06.270190
15,3,0.8525344419270237,3,similarity,v1,2024-10-31 23:14:06.270190
16,1,0.4267193081506516,1,default,default,2024-10-31 23:14:06.270190
16,2,0.373898503767642,2,default,default,2024-10-31 23:14:06.270190
16,3,0.9791387113036716,3,default,default,2024-10-31 23:14:06.270190
17,1,0.737285955550665,1,default,default,2024-10-31 23:14:06.270190
17,2,0.478838080446099,2,default,default,2024-10-31 23:14:06.270190
17,3,0.6472347322181942,3,default,default,2024-10-31 23:14:06.270190
18,1,0.1818091159630248,1,similarity,v1,2024-10-31 23:14:06.270190
18,2,0.5294778452892365,2,similarity,v1,2024-10-31 23:14:06.270190
18,3,0.3637352689598853,3,similarity,v1,2024-10-31 23:14:06.270190
19,1,0.0809598284284479,1,similarity,v1,2024-10-31 23:14:06.270190
19,2,0.5284711392260922,2,similarity,v1,2024-10-31 23:14:06.270190
19,3,0.9011474139015516,3,similarity,v1,2024-10-31 23:14:06.270190
20,1,0.673137951690485,1,similarity,v1,2024-10-31 23:14:06.270190
20,2,0.489900366560687,2,similarity,v1,2024-10-31 23:14:06.270190
20,3,0.9221420515574696,3,similarity,v1,2024-10-31 23:14:06.270190
21,1,0.2255482982152871,1,default,default,2024-10-31 23:14:06.270190
21,2,0.1755846667963115,2,default,default,2024-10-31 23:14:06.270190
21,3,0.3069472271593144,3,default,default,2024-10-31 23:14:06.270190
22,1,0.026020971721166,1,default,default,2024-10-31 23:14:06.270190
22,2,0.920324184771886,2,default,default,2024-10-31 23:14:06.270190
22,3,0.8775131992372935,3,default,default,2024-10-31 23:14:06.270190
23,1,0.5119165573593968,1,similarity,v1,2024-10-31 23:14:06.270190
23,2,0.1811326277189835,2,similarity,v1,2024-10-31 23:14:06.270190
23,3,0.3082565393514548,3,similarity,v1,2024-10-31 23:14:06.270190
24,1,0.3907239309666989,1,default,default,2024-10-31 23:14:06.270190
24,2,0.387797565059031,2,default,default,2024-10-31 23:14:06.270190
24,3,0.2932491834474848,3,default,default,2024-10-31 23:14:06.270190
25,1,0.4622195210282305,1,default,default,2024-10-31 23:14:06.270190
25,2,0.9764990713254116,2,default,default,2024-10-31 23:14:06.270190
25,3,0.0218509200998451,3,default,default,2024-10-31 23:14:06.270190
26,1,0.2146948513598484,1,similarity,v1,2024-10-31 23:14:06.270190
26,2,0.7892707550348345,2,similarity,v1,2024-10-31 23:14:06.270190
26,3,0.5407729639560217,3,similarity,v1,2024-10-31 23:14:06.270190
27,1,0.6338487619603671,1,default,default,2024-10-31 23:14:06.270190
27,2,0.1931188272408043,2,default,default,2024-10-31 23:14:06.270190
27,3,0.1893366354797128,3,default,default,2024-10-31 23:14:06.270190
28,1,0.9410541283434538,1,default,default,2024-10-31 23:14:06.270190
28,2,0.2477487639437426,2,default,default,2024-10-31 23:14:06.270190
28,3,0.1362543816141117,3,default,default,2024-10-31 23:14:06.270190
29,1,0.0632824907122687,1,default,default,2024-10-31 23:14:06.270190
29,2,0.4966769337315683,2,default,default,2024-10-31 23:14:06.270190
29,3,0.3850827887377729,3,default,default,2024-10-31 23:14:06.270190
30,1,0.7315728074841505,1,similarity,v1,2024-10-31 23:14:06.270190
30,2,0.3418129717909206,2,similarity,v1,2024-10-31 23:14:06.270190
30,3,0.6590424083096094,3,similarity,v1,2024-10-31 23:14:06.270190
31,1,0.3010462347043989,1,similarity,v1,2024-10-31 23:14:06.270190
31,2,0.5335524134917202,2,similarity,v1,2024-10-31 23:14:06.270190
31,3,0.077745432244227,3,similarity,v1,2024-10-31 23:14:06.270190
32,1,0.8606636349773394,1,default,default,2024-10-31 23:14:06.270190
32,2,0.9093010715942909,2,default,default,2024-10-31 23:14:06.270190
32,3,0.8281869497839742,3,default,default,2024-10-31 23:14:06.270190
33,1,0.1211824759623992,1,similarity,v1,2024-10-31 23:14:06.270190
33,2,0.6277884645260982,2,similarity,v1,2024-10-31 23:14:06.270190
33,3,0.006003363181891,3,similarity,v1,2024-10-31 23:14:06.270190
34,1,0.0337441600050764,1,similarity,v1,2024-10-31 23:14:06.270190
34,2,0.3528119011114816,2,similarity,v1,2024-10-31 23:14:06.270190
34,3,0.1676100745036431,3,similarity,v1,2024-10-31 23:14:06.270190
35,1,0.4379387008109913,1,similarity,v1,2024-10-31 23:14:06.270190
35,2,0.0996863556422174,2,similarity,v1,2024-10-31 23:14:06.270190
35,3,0.2930787280675804,3,similarity,v1,2024-10-31 23:14:06.270190
36,1,0.1039885177821687,1,similarity,v1,2024-10-31 23:14:06.270190
36,2,0.1887903875510604,2,similarity,v1,2024-10-31 23:14:06.270190
36,3,0.4055752714927964,3,similarity,v1,2024-10-31 23:14:06.270190
37,1,0.7119873022388106,1,similarity,v1,2024-10-31 23:14:06.270190
37,2,0.6762606540222,2,similarity,v1,2024-10-31 23:14:06.270190
37,3,0.6075176764046408,3,similarity,v1,2024-10-31 23:14:06.270190
38,1,0.9896247456248334,1,default,default,2024-10-31 23:14:06.270190
38,2,0.1633346651082378,2,default,default,2024-10-31 23:14:06.270190
38,3,0.5607286201822936,3,default,default,2024-10-31 23:14:06.270190
39,1,0.716601388686328,1,similarity,v1,2024-10-31 23:14:06.270190
39,2,0.970738192280726,2,similarity,v1,2024-10-31 23:14:06.270190
39,3,0.1804972614122867,3,similarity,v1,2024-10-31 23:14:06.270190
40,1,0.7507529570727548,1,similarity,v1,2024-10-31 23:14:06.270190
40,2,0.89016544486377,2,similarity,v1,2024-10-31 23:14:06.270190
40,3,0.6149120460467996,3,similarity,v1,2024-10-31 23:14:06.270190
41,1,0.9682143664411532,1,default,default,2024-10-31 23:14:06.270190
41,2,0.3884234124963518,2,default,default,2024-10-31 23:14:06.270190
41,3,0.2762676699257893,3,default,default,2024-10-31 23:14:06.270190
42,1,0.0746008449829508,1,similarity,v1,2024-10-31 23:14:06.270190
42,2,0.8322456840105353,2,similarity,v1,2024-10-31 23:14:06.270190
42,3,0.4223113183364064,3,similarity,v1,2024-10-31 23:14:06.270190
43,1,0.0089614239814372,1,default,default,2024-10-31 23:14:06.270190
43,2,0.169188219733214,2,default,default,2024-10-31 23:14:06.270190
43,3,0.5413678436935541,3,default,default,2024-10-31 23:14:06.270190
44,1,0.2164977342122858,1,default,default,2024-10-31 23:14:06.270190
44,2,0.343221390573917,2,default,default,2024-10-31 23:14:06.270190
44,3,0.6804694878159452,3,default,default,2024-10-31 23:14:06.270190
45,1,0.1386440794887787,1,similarity,v1,2024-10-31 23:14:06.270190
45,2,0.6104775672444347,2,similarity,v1,2024-10-31 23:14:06.270190
45,3,0.2420979754497215,3,similarity,v1,2024-10-31 23:14:06.270190
46,1,0.0038976021152321,1,default,default,2024-10-31 23:14:06.270190
46,2,0.5861076498358594,2,default,default,2024-10-31 23:14:06.270190
46,3,0.3972985183449696,3,default,default,2024-10-31 23:14:06.270190
47,1,0.594327905957299,1,similarity,v1,2024-10-31 23:14:06.270190
47,2,0.9289169266585968,2,similarity,v1,2024-10-31 23:14:06.270190
47,3,0.857710578846829,3,similarity,v1,2024-10-31 23:14:06.270190
48,1,0.0548837260275363,1,default,default,2024-10-31 23:14:06.270190
48,2,0.9494198519557008,2,default,default,2024-10-31 23:14:06.270190
48,3,0.9881033616660152,3,default,default,2024-10-31 23:14:06.270190
49,1,0.0651654574594894,1,default,default,2024-10-31 23:14:06.270190
49,2,0.4428121594722756,2,default,default,2024-10-31 23:14:06.270190
49,3,0.7352071939970267,3,default,default,2024-10-31 23:14:06.270190
50,1,0.6923557164208572,1,default,default,2024-10-31 23:14:06.270190
50,2,0.2688970032235529,2,default,default,2024-10-31 23:14:06.270190
50,3,0.2582918987402258,3,default,default,2024-10-31 23:14:06.270190
51,1,0.8920479680956368,1,default,default,2024-10-31 23:14:06.270190
51,2,0.9613913905335356,2,default,default,2024-10-31 23:14:06.270190
51,3,0.7598153842254899,3,default,default,2024-10-31 23:14:06.270190
52,1,0.0618384659609503,1,similarity,v1,2024-10-31 23:14:06.270190
52,2,0.3495009862950071,2,similarity,v1,2024-10-31 23:14:06.270190
