id,store_id,title,purchase_url,price,gluten_free_tag,high_protein_tag,sugar_free_tag,vegan_tag,ketogenic_tag,flavor
1,1,냥빵 파운드 저탄수 대체당 제로 빵 글루텐프리 건강빵 비건,https://smartstore.naver.com/nyangppang/products/5907549396,3800,1.0,0.0,0.0,0.0,0.0,필수상품 없음
2,2,비건 유기농 쌀 & 기장쌀 잡곡 비스코티 5종 미앤드리 글루텐프리,https://smartstore.naver.com/meandri/products/8173331858,5000,1.0,0.0,0.0,1.0,0.0,드리 초코코코넛(넛프리) 한라봉얼그레이 바나나피칸(제로슈가/노오일/노솔트) 말차캐슈넛
3,3,비건이레 비건케이크 글루텐프리 떠먹는케이크 얼그레이아몬드베린느 GF,https://smartstore.naver.com/vegan_for_sevendays/products/7236359151,7500,1.0,0.0,0.0,1.0,0.0,베린느 얼그레이아몬드베린느 (GF) 헤이즐넛베린느 (GF) 임자레오베린느 쑥스러운딸기베린느 (GF) (+300원) 오페라베린느 (GF) 피넛버터쇼콜라베린느 (GF) (+300원)
4,4,프로넛 무설탕 자일리톨 캔디 레몬 선물 사탕 금연 양치 아이간식 어린이집,https://smartstore.naver.com/pronut/products/9782392925,2800,0.0,0.0,0.0,0.0,0.0,레몬 퓨어(오리지널) 복숭아 샤인머스켓 콜라 페퍼민트
5,5,꾸디 비건쿠키 (르뱅쿠키 수제쿠키),https://smartstore.naver.com/ggudi/products/5350602475,4200,0.0,0.0,0.0,1.0,0.0,쿠키 선택 coming soon ★
6,6,[쌀낭시에 5종x2개입] 비건빵 글루텐프리 쌀빵 휘낭시에 건강간식,https://smartstore.naver.com/thebreadblue/products/10524498266,27500,0.0,0.0,0.0,1.0,0.0,필수상품 없음
7,5,꾸디 이달의 비건디저트 (비건쿠키 비건빵 베이커리 웨딩임페리얼 무화과),https://smartstore.naver.com/ggudi/products/6552077533,5000,0.0,0.0,0.0,1.0,0.0,이달의 디저트 ★ coming soon ★
8,6,[통밀발효종빵 3개 세트] 속이 편안한 통밀발효종 건강 비건빵,https://smartstore.naver.com/thebreadblue/products/10058561759,22770,0.0,0.0,0.0,1.0,0.0,필수상품 없음
9,6,[발효종 순수 통밀빵 2개입 1세트] 저당빵 비건 건강 식사대용 더브레드블루,https://smartstore.naver.com/thebreadblue/products/10462893106,8690,0.0,0.0,1.0,1.0,1.0,필수상품 없음
10,7,"굿다운 1/9 저칼로리 저당 치아딸기잼, 서울어워드수상 당뇨와건강몰입점 스테비아잼 무설탕잼",https://smartstore.naver.com/grimmsbread/products/7318233551,12400,0.0,0.0,0.5,0.0,0.0,1. 저당 저칼로리 딸기잼 2. 저당 초코잼
11,8,[모닐이네하우스] 글루텐프리 100% 쌀 소금빵 5개 세트구성,https://smartstore.naver.com/monil2house/products/9108823733,15000,1.0,0.0,0.0,0.0,0.0,글루텐프리 쌀 소금빵 5개 세트
12,9,콩볼 쿠키볼 / 로키 오트밀 쿠키,https://smartstore.naver.com/rawsome/products/10774827105,4400,1.0,0.0,0.0,1.0,0.0,콩볼 GF 콩볼 현미팝 GF (+400원)
13,10,키토빵앗간 고메버터 파운드 (저당 글루텐프리 저탄수빵),https://smartstore.naver.com/ketobbang/products/5774916041,4500,1.0,1.0,0.5,0.0,0.0,바닐라빈 파운드 무화과 초코 파운드
14,11,저당 단백 모닝빵 5개입 무설탕 무밀가루 저당질 프로틴 단백질빵,https://smartstore.naver.com/ketopantry/products/8754612023,9000,0.0,0.0,0.0,0.0,0.0,키토 단백 모닝빵 5개입
15,12,수제 비건버터 쌀소금빵,https://smartstore.naver.com/dearmyqueen1553/products/8094049097,3900,1.0,0.0,0.0,1.0,0.0,필수상품 없음
16,13,[빵어니스타] 비건 쌀 빠삭쿠키 (당일 미입금 시 주문 취소),https://smartstore.naver.com/shophonesta/products/10524616367,4500,0.0,0.0,0.0,1.0,0.0,"깨 코코넛 (+500원) 오레오초코칩 (+1,000원)"
17,14,카라멜 피칸 견과 쿠키 퇴사 답례품 선물 비건쿠키,https://smartstore.naver.com/veganez/products/9899487132,5500,1.0,0.0,0.0,1.0,0.0,🍪 선택
18,14,레몬 얼그레이 수제쿠키 쌀 글루텐프리 비건쿠키,https://smartstore.naver.com/veganez/products/9899464494,5800,1.0,0.0,0.0,1.0,0.0,🍪 선택 🍪
19,2,비건 유기농 쌀 제로슈가 고구마브라우니 미앤드리 글루텐프리,https://smartstore.naver.com/meandri/products/8015455745,3800,1.0,0.0,0.0,1.0,0.0,브라우니 기본
20,6,"[구운 통밀 고로케 3개입 세트] 야채 고로케, 비건 간식, 식사대용, 구운 통밀 고로케",https://smartstore.naver.com/thebreadblue/products/10463029522,13200,1.0,0.0,0.0,1.0,0.0,야채 매콤야채
21,3,비건이레 비건 티케이크 비건빵 글루텐프리 단호박티케이크,https://smartstore.naver.com/vegan_for_sevendays/products/5604418319,3500,1.0,0.0,0.0,1.0,0.0,단호박티케이크 얼그레이레몬티케이크 쑥크럼블티케이크 쇼콜라아몬드티케이크 말차콩콩콩티케이크 감자올리브티케이크
22,15,틴베이크 플틴쿠키 저당 고단백 프로틴 단백질 월넛오리지널 쿠키 빵,https://smartstore.naver.com/teinbake/products/5754369653,4000,0.0,0.0,0.0,0.0,0.0,월넛오리지널쿠키 트리플카카오쿠키 말차화이트마카다미아 (한정)딸기치즈케이크쿠키 (+500원) (한정)황치즈케이크쿠키 (+500원)
23,16,글루텐프리 다이어트빵 쌀디저트 쌀마들렌 2개세트 할인 비건,https://smartstore.naver.com/earth-born/products/8151293245,4400,1.0,0.0,0.0,1.0,0.0,오트밀 카카오 흑임자 쑥크럼블
24,8,"[모닐이네하우스] 특허받은 레시피로 만든 무설탕, 노밀가루, 노생크림 갸또쇼콜라 시리즈",https://smartstore.naver.com/monil2house/products/8606659063,15000,1.0,0.0,0.0,0.0,0.0,오리지널 다크(무설탕) 라즈베리 다크(무설탕) 얼그레이 다크(무설탕) 치즈케이크&다크 프로마쥬(저당) 황치즈 블랑(무설탕) 쑥 블랑(무설탕) 무화과 다크(무설탕) 클래식 다크 (설탕함유버전) 키토 쇼콜라(저탄수고지방) 딥 다크 (대체당 마저 뺌!)
25,7,"굿다운 1/9저칼로리 저당 딸기잼 1kg 리필팩, 당뇨키토몰입점 스테비아잼 굿다운잼",https://smartstore.naver.com/grimmsbread/products/9418851993,45800,0.0,0.0,0.0,0.0,1.0,필수상품 없음
26,7,"그림의빵 완벽저당 전제품 맛보기 10개 세트(1/9딸기잼 포함), 당뇨와건강몰입점",https://smartstore.naver.com/grimmsbread/products/8158079418,64800,0.0,0.0,0.0,0.0,0.0,필수상품 없음
27,12,비건 글루텐프리 베이글 [호박],https://smartstore.naver.com/dearmyqueen1553/products/10408016820,4200,1.0,0.0,0.0,1.0,0.0,필수상품 없음
28,2,비건 유기농 쌀 노오일 휘낭시에 드낭시에 글루텐프리,https://smartstore.naver.com/meandri/products/8726000877,3000,1.0,0.0,0.0,1.0,0.0,드낭시에 플레인 초코 (+100원) 피칸 (+200원) 피스타치오 (+200원) 헤즐넛 (+200원)
