query_item,recommendation_item,score,rank,recommendation_theme,model_version,created_at
1,15,0.9474788,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
1,78,0.93036354,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
1,9,0.9290031,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
2,56,0.9505493,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
2,65,0.9429543,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
2,119,0.9350362,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
3,152,0.9378985,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
3,204,0.93543965,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
3,84,0.9336944,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
4,103,0.93168205,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
4,171,0.9296229,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
4,180,0.92678773,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
5,204,0.9350504,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
5,192,0.92768407,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
5,119,0.92179537,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
6,104,0.90974826,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
6,195,0.90069133,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
6,155,0.90019715,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
7,44,0.9303286,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
7,55,0.9295348,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
7,29,0.926839,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
8,139,0.93369526,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
8,78,0.93272525,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
8,9,0.93012726,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
9,194,0.9561737,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
9,69,0.9448187,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
9,198,0.9409802,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
10,25,0.9327538,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
10,183,0.9298656,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
10,158,0.9251634,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
11,113,0.92859465,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
11,190,0.92777413,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
11,139,0.9197434,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
12,173,0.8902192,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
12,141,0.88090295,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
12,86,0.85696805,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
13,175,0.9336237,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
13,81,0.9328216,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
13,176,0.93257064,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
14,118,0.94749784,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
14,198,0.94127077,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
14,132,0.9353079,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
15,1,0.9474788,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
15,139,0.9474232,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
15,132,0.9415997,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
16,204,0.93308187,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
16,171,0.93094224,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
16,101,0.92911845,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
17,165,0.8981082,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
17,144,0.88687724,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
17,73,0.8836685,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
18,196,0.9572165,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
18,86,0.94752043,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
18,163,0.9430293,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
19,18,0.9084715,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
19,145,0.9032365,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
19,193,0.9005867,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
20,122,0.98626703,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
20,79,0.8438405,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
20,76,0.84061694,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
21,35,0.9283578,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
21,105,0.9157822,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
21,119,0.9141734,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
22,68,0.9373925,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
22,50,0.9338536,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
22,32,0.9334304,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
23,126,0.9491382,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
23,210,0.937237,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
23,84,0.9340893,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
24,63,0.97488827,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
24,95,0.96596295,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
24,46,0.918395,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
25,183,0.9376972,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
25,10,0.9327538,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
25,69,0.9283176,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
26,69,0.94464844,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
26,211,0.93944764,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
26,9,0.93725926,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
27,136,0.9811456,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
27,153,0.8969595,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
27,43,0.87753636,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
28,84,0.9307967,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
28,3,0.92460257,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
28,104,0.91959625,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
29,132,0.93271005,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
29,208,0.9306232,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
29,44,0.93011045,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
30,165,0.9193407,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
30,106,0.9112041,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
30,163,0.9038154,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
31,173,0.93070346,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
31,142,0.91509414,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
31,129,0.9150406,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
32,175,0.9450275,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
32,192,0.9425947,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
32,119,0.9423333,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
33,44,0.9326836,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
33,132,0.92710567,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
33,208,0.9235931,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
34,173,0.9243204,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
34,163,0.9226701,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
34,123,0.91384834,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
35,21,0.9283578,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
35,163,0.8987195,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
35,18,0.8976476,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
36,26,0.92290914,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
36,15,0.90852356,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
36,69,0.9065743,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
37,115,0.9828767,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
37,77,0.9819014,2,word2vec,0.0.1,2024-11-03 17:34:18.700163
37,128,0.9802309,3,word2vec,0.0.1,2024-11-03 17:34:18.700163
38,180,0.93633956,1,word2vec,0.0.1,2024-11-03 17:34:18.700163
